Sport,Year,Category,Title
FOOTBALL,1950,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1951,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1961,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1962,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1963,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1968,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1972,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1978,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1981,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1988,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1989,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1990,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1991,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1993,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1995,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1996,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1997,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1998,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2001,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2004,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2005,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2006,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2007,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2008,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2009,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2010,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2011,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2012,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2014,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2015,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2016,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2017,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2018,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2019,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2020,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2021,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2022,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2023,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2024,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1968,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1972,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1978,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1983,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1989,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1998,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2004,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2006,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2008,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2010,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2011,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2012,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2014,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2015,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2019,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2020,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2022,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
